date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-23 23:00:00,58,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",1162,12.0,9.568965517241379,2.6,88.0,0.9,-1.6,0.0,0.0,1000.2
2024-03-29 20:00:00,59,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",1183,6.0,9.23728813559322,11.1,83.0,8.3,9.2,0.0,0.0,996.5
2024-03-30 20:00:00,58,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",1162,3.0,9.275862068965518,13.5,75.0,9.2,11.8,0.0,0.0,993.8
2024-04-01 20:00:00,59,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",1182,20.0,8.864406779661017,10.7,83.0,8.0,5.9,0.0,0.0,992.4
2024-04-02 22:00:00,58,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",1162,11.0,9.344827586206897,8.8,80.0,5.6,4.3,0.0,0.0,1000.8
2024-04-04 17:00:00,57,Mlinska ulica 24,"{'lat': 46.558534, 'lng': 15.654739}",1142,1.0,8.87719298245614,12.9,83.0,10.0,9.7,0.0,0.3,1001.4
