date,number,address,position,bike_stands,available_bike_stands,available_bikes,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-26 01:00:00,37,Koroška cesta 74,"{'lat': 46.559319, 'lng': 15.63498}",743,2.0,10.108108108108109,1.0,92.0,-0.1,-2.4,0.0,0.0,1000.9
2024-03-30 02:00:00,52,Koroška cesta 74,"{'lat': 46.559319, 'lng': 15.63498}",1040,2.0,9.211538461538462,8.8,92.0,7.6,6.9,0.0,0.0,996.8
2024-04-03 18:00:00,58,Koroška cesta 74,"{'lat': 46.559319, 'lng': 15.63498}",1162,0.0,9.03448275862069,10.1,93.0,9.0,8.5,0.0,0.2,1003.5
