date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-04 00:00:00,8.6,92,7.4,6.0,0,0.0,1003.3
2024-04-04 01:00:00,9.2,93,8.0,6.6,0,0.0,1003.0
2024-04-04 02:00:00,9.2,93,8.0,6.7,0,0.1,1002.9
2024-04-04 03:00:00,8.8,93,7.8,6.1,0,0.0,1002.9
2024-04-04 04:00:00,8.9,93,7.8,6.0,0,0.0,1002.8
2024-04-04 05:00:00,8.9,92,7.7,5.9,0,0.0,1003.6
2024-04-04 06:00:00,9.3,90,7.8,6.4,0,0.0,1003.9
2024-04-04 07:00:00,10.5,88,8.7,8.0,0,0.0,1004.3
2024-04-04 08:00:00,12.0,81,8.9,9.3,0,0.0,1004.0
2024-04-04 09:00:00,13.3,70,8.0,10.0,0,0.0,1004.0
2024-04-04 10:00:00,13.7,65,7.2,10.3,0,0.0,1003.7
2024-04-04 11:00:00,14.2,63,7.4,10.6,0,0.0,1003.3
2024-04-04 12:00:00,12.9,78,9.2,10.0,0,0.4,1002.7
2024-04-04 13:00:00,12.6,89,10.9,10.4,0,1.1,1001.7
2024-04-04 14:00:00,12.8,88,10.9,10.1,0,1.4,1000.9
2024-04-04 15:00:00,12.2,90,10.6,9.0,0,1.3,1000.6
2024-04-04 16:00:00,13.5,85,11.0,10.7,0,0.0,1000.7
2024-04-04 17:00:00,12.9,83,10.0,9.7,0,0.3,1001.4
2024-04-04 18:00:00,11.5,88,9.6,8.4,0,1.5,1002.3
2024-04-04 19:00:00,11.4,84,8.8,8.0,0,0.0,1003.1
2024-04-04 20:00:00,11.0,85,8.5,7.9,0,0.1,1003.4
2024-04-04 21:00:00,10.5,85,8.0,6.9,0,0.0,1004.4
2024-04-04 22:00:00,10.3,83,7.5,6.5,0,0.0,1005.3
2024-04-04 23:00:00,9.8,85,7.3,6.4,0,0.0,1005.9
