date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-21 00:00:00,9.7,72,4.9,7.1,0,0.0,1014.3
2024-03-21 01:00:00,9.3,77,5.5,7.1,0,0.0,1014.0
2024-03-21 02:00:00,8.8,80,5.6,6.7,0,0.1,1013.7
2024-03-21 03:00:00,8.9,83,6.1,6.5,0,0.7,1013.1
2024-03-21 04:00:00,8.6,85,6.3,6.3,0,0.0,1013.1
2024-03-21 05:00:00,8.5,89,6.8,6.2,0,0.5,1013.2
2024-03-21 06:00:00,8.8,91,7.3,6.7,0,0.8,1013.0
2024-03-21 07:00:00,9.7,91,8.3,7.9,0,0.9,1013.1
2024-03-21 08:00:00,10.4,91,9.1,8.6,0,0.5,1013.4
2024-03-21 09:00:00,10.4,94,9.4,8.8,0,0.8,1013.6
2024-03-21 10:00:00,11.2,93,10.1,9.8,0,1.4,1013.4
2024-03-21 11:00:00,11.7,91,10.3,10.2,0,0.7,1013.5
2024-03-21 12:00:00,14.2,76,10.0,12.4,0,0.0,1013.4
2024-03-21 13:00:00,13.3,75,9.0,10.5,0,0.1,1014.2
2024-03-21 14:00:00,13.2,74,8.8,10.0,0,0.1,1014.4
2024-03-21 15:00:00,13.4,71,8.2,10.1,0,0.1,1014.5
2024-03-21 16:00:00,12.6,71,7.4,9.5,0,0.0,1014.8
2024-03-21 17:00:00,11.4,73,6.6,8.1,0,0.0,1015.3
2024-03-21 18:00:00,10.6,74,6.3,7.6,0,0.0,1015.9
2024-03-21 19:00:00,9.7,81,6.5,6.3,0,0.0,1016.4
2024-03-21 20:00:00,8.3,84,5.7,4.3,0,0.0,1017.4
2024-03-21 21:00:00,8.0,83,5.3,4.4,0,0.0,1017.6
2024-03-21 22:00:00,7.7,83,4.9,5.0,0,0.0,1017.5
2024-03-21 23:00:00,6.7,89,4.9,4.7,0,0.0,1017.0
