date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-23 00:00:00,8.5,91,7.1,6.4,0,0.2,1004.3
2024-03-23 01:00:00,7.9,94,7.0,6.0,0,0.1,1003.8
2024-03-23 02:00:00,7.7,95,6.9,5.8,0,0.1,1003.3
2024-03-23 03:00:00,7.5,96,6.9,6.0,0,0.1,1002.5
2024-03-23 04:00:00,7.3,97,6.8,5.7,0,0.1,1001.9
2024-03-23 05:00:00,7.0,97,6.6,5.4,0,0.0,1001.3
2024-03-23 06:00:00,7.0,96,6.4,5.1,0,0.1,1000.5
2024-03-23 07:00:00,6.8,93,5.7,3.7,0,0.5,1000.0
2024-03-23 08:00:00,6.0,89,4.4,2.5,0,1.0,999.6
2024-03-23 09:00:00,5.8,89,4.1,2.2,0,1.1,999.2
2024-03-23 10:00:00,6.1,85,3.8,2.2,0,0.6,999.1
2024-03-23 11:00:00,6.0,88,4.1,2.3,0,0.6,999.5
2024-03-23 12:00:00,5.8,86,3.7,1.9,0,0.6,999.9
2024-03-23 13:00:00,6.7,76,2.7,2.7,0,0.1,1000.5
2024-03-23 14:00:00,8.1,62,1.3,3.3,0,0.1,1000.5
2024-03-23 15:00:00,7.1,73,2.5,1.9,0,0.4,1001.1
2024-03-23 16:00:00,6.6,79,3.2,2.7,0,0.2,1000.7
2024-03-23 17:00:00,5.8,85,3.4,2.1,0,0.0,1000.0
2024-03-23 18:00:00,4.9,88,3.1,1.6,0,0.0,1000.6
2024-03-23 19:00:00,3.8,92,2.7,1.0,0,0.0,1000.8
2024-03-23 20:00:00,3.7,92,2.5,0.6,0,0.1,1000.6
2024-03-23 21:00:00,3.4,90,1.8,-0.5,0,0.0,1000.5
2024-03-23 22:00:00,3.0,87,1.0,-1.2,0,0.0,1000.4
2024-03-23 23:00:00,2.6,88,0.9,-1.6,0,0.0,1000.2
