date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-02 00:00:00,9.7,80,6.4,5.0,0,0.1,994.7
2024-04-02 01:00:00,9.6,80,6.4,5.4,0,0.0,995.2
2024-04-02 02:00:00,9.4,82,6.5,5.3,0,0.0,995.5
2024-04-02 03:00:00,8.8,85,6.4,5.0,0,0.0,995.8
2024-04-02 04:00:00,8.0,88,6.2,4.2,0,0.0,996.2
2024-04-02 05:00:00,8.0,87,6.0,3.9,0,0.0,996.5
2024-04-02 06:00:00,8.9,83,6.2,4.3,0,0.0,996.7
2024-04-02 07:00:00,10.4,76,6.3,5.6,0,0.0,996.8
2024-04-02 08:00:00,11.3,71,6.2,5.3,0,0.0,997.4
2024-04-02 09:00:00,12.0,67,6.0,6.1,0,0.1,997.9
2024-04-02 10:00:00,12.8,62,5.6,6.4,0,0.1,998.0
2024-04-02 11:00:00,13.1,60,5.4,6.6,0,0.2,998.1
2024-04-02 12:00:00,13.6,56,4.9,7.5,0,0.1,998.5
2024-04-02 13:00:00,12.5,64,5.8,6.9,0,0.6,999.4
2024-04-02 14:00:00,12.5,65,6.0,7.0,0,1.3,999.4
2024-04-02 15:00:00,13.0,62,6.0,8.2,0,0.6,999.5
2024-04-02 16:00:00,12.9,58,5.0,8.3,0,0.0,999.5
2024-04-02 17:00:00,12.1,58,4.1,7.5,0,0.0,999.4
2024-04-02 18:00:00,11.4,60,4.0,6.8,0,0.0,999.9
2024-04-02 19:00:00,10.3,67,4.4,6.2,0,0.0,1000.3
2024-04-02 20:00:00,9.6,73,5.0,5.1,0,0.0,1000.5
2024-04-02 21:00:00,9.0,78,5.3,4.5,0,0.0,1000.6
2024-04-02 22:00:00,8.8,80,5.6,4.3,0,0.0,1000.8
2024-04-02 23:00:00,8.6,82,5.7,4.3,0,0.0,1001.0
