date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-28 00:00:00,9.5,85,7.1,6.5,0,0.0,980.4
2024-03-28 01:00:00,8.8,89,7.1,6.3,0,0.0,980.0
2024-03-28 02:00:00,8.3,91,6.9,6.2,0,0.0,979.2
2024-03-28 03:00:00,8.4,92,7.1,5.9,0,0.0,979.0
2024-03-28 04:00:00,8.6,92,7.5,6.4,0,0.0,978.7
2024-03-28 05:00:00,9.0,91,7.7,6.1,0,0.2,978.9
2024-03-28 06:00:00,7.9,93,6.9,3.8,0,0.5,979.7
2024-03-28 07:00:00,8.1,92,6.9,3.4,0,0.4,980.8
2024-03-28 08:00:00,7.5,89,5.8,3.0,0,0.2,981.9
2024-03-28 09:00:00,8.2,83,5.5,3.1,0,0.0,982.9
2024-03-28 10:00:00,9.8,74,5.3,4.3,0,0.0,983.6
2024-03-28 11:00:00,11.5,59,3.9,6.3,0,0.0,983.7
2024-03-28 12:00:00,13.4,52,3.7,8.7,0,0.0,983.4
2024-03-28 13:00:00,13.0,56,4.5,7.7,0,0.0,984.5
2024-03-28 14:00:00,13.4,54,4.4,7.1,0,0.1,984.7
2024-03-28 15:00:00,11.6,63,4.7,5.8,0,0.0,985.8
2024-03-28 16:00:00,11.1,66,5.1,6.1,0,0.0,986.4
2024-03-28 17:00:00,10.3,66,4.3,5.4,0,0.0,987.4
2024-03-28 18:00:00,9.7,66,3.6,5.0,0,0.0,988.3
2024-03-28 19:00:00,8.4,68,2.9,3.7,0,0.0,989.6
2024-03-28 20:00:00,7.4,73,2.8,3.3,0,0.0,990.8
2024-03-28 21:00:00,6.7,77,2.9,2.9,0,0.0,991.4
2024-03-28 22:00:00,6.3,77,2.5,2.1,0,0.0,992.0
2024-03-28 23:00:00,6.9,67,1.2,2.0,0,0.0,993.1
