date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-30 00:00:00,8.9,91,7.6,7.2,0,0.0,997.6
2024-03-30 01:00:00,7.7,94,6.7,5.4,0,0.3,997.3
2024-03-30 02:00:00,8.8,92,7.6,6.9,0,0.0,996.8
2024-03-30 03:00:00,8.5,92,7.2,6.5,0,0.0,996.7
2024-03-30 04:00:00,8.2,90,6.6,5.6,0,0.0,996.6
2024-03-30 05:00:00,8.0,87,6.1,5.5,0,0.0,996.6
2024-03-30 06:00:00,8.9,86,6.6,6.3,0,0.0,996.3
2024-03-30 07:00:00,10.8,85,8.5,8.6,0,0.0,996.7
2024-03-30 08:00:00,13.6,80,10.2,11.8,0,0.0,996.5
2024-03-30 09:00:00,16.3,73,11.4,15.0,0,0.0,996.3
2024-03-30 10:00:00,18.6,67,12.3,17.8,0,0.0,995.9
2024-03-30 11:00:00,20.1,60,12.1,19.2,0,0.0,995.7
2024-03-30 12:00:00,21.2,54,11.7,20.3,0,0.0,995.2
2024-03-30 13:00:00,21.5,53,11.6,20.8,0,0.0,994.8
2024-03-30 14:00:00,21.8,53,11.8,20.6,0,0.0,994.3
2024-03-30 15:00:00,21.6,56,12.5,20.7,0,0.0,994.0
2024-03-30 16:00:00,20.1,64,13.1,19.5,0,0.0,993.8
2024-03-30 17:00:00,18.0,67,11.8,16.9,0,0.0,993.5
2024-03-30 18:00:00,16.0,69,10.3,14.4,0,0.0,993.5
2024-03-30 19:00:00,14.5,75,10.1,13.0,0,0.0,993.9
2024-03-30 20:00:00,13.5,75,9.2,11.8,0,0.0,993.8
2024-03-30 21:00:00,13.1,74,8.5,11.2,0,0.0,994.0
2024-03-30 22:00:00,12.1,79,8.5,10.4,0,0.0,994.0
2024-03-30 23:00:00,10.2,86,8.0,8.6,0,0.0,993.9
