date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-07 00:00:00,13.6,82,10.6,12.3,0,0.0,1009.5
2024-04-07 01:00:00,13.8,77,9.7,12.1,0,0.0,1008.8
2024-04-07 02:00:00,13.3,76,9.1,11.4,0,0.0,1008.4
2024-04-07 03:00:00,13.5,72,8.7,11.3,0,0.0,1008.0
2024-04-07 04:00:00,13.7,69,8.2,11.0,0,0.0,1007.8
2024-04-07 05:00:00,13.9,67,7.9,11.1,0,0.0,1007.7
2024-04-07 06:00:00,15.1,66,8.9,12.6,0,0.0,1008.3
2024-04-07 07:00:00,17.3,66,10.8,15.3,0,0.0,1009.2
2024-04-07 08:00:00,19.6,60,11.7,18.1,0,0.0,1009.7
2024-04-07 09:00:00,21.2,56,12.0,19.7,0,0.0,1010.2
2024-04-07 10:00:00,21.6,52,11.4,19.7,0,0.0,1010.6
2024-04-07 11:00:00,21.6,54,11.9,20.3,0,0.0,1011.1
2024-04-07 12:00:00,21.8,56,12.5,21.3,0,0.0,1011.6
2024-04-07 13:00:00,22.2,55,12.6,21.6,0,0.0,1012.0
2024-04-07 14:00:00,22.1,55,12.6,21.4,0,0.0,1011.2
2024-04-07 15:00:00,22.0,56,13.0,21.1,0,0.0,1011.0
2024-04-07 16:00:00,21.6,63,14.2,21.6,0,0.0,1011.1
2024-04-07 17:00:00,19.9,73,15.0,20.7,0,0.0,1010.6
2024-04-07 18:00:00,17.2,80,13.7,17.3,0,0.0,1010.8
2024-04-07 19:00:00,16.6,80,13.1,16.4,0,0.0,1010.7
2024-04-07 20:00:00,16.8,76,12.5,15.9,0,0.0,1010.3
2024-04-07 21:00:00,16.6,76,12.4,16.0,0,0.0,1010.3
2024-04-07 22:00:00,15.4,83,12.6,15.3,0,0.0,1010.0
2024-04-07 23:00:00,14.3,87,12.1,13.9,0,0.0,1009.2
