date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-26 00:00:00,0.4,93,-0.6,-2.9,0,0.0,1001.3
2024-03-26 01:00:00,1.0,92,-0.1,-2.4,0,0.0,1000.9
2024-03-26 02:00:00,0.9,92,-0.2,-2.6,0,0.0,1000.5
2024-03-26 03:00:00,0.9,93,-0.2,-2.7,0,0.0,1000.3
2024-03-26 04:00:00,0.9,93,-0.1,-2.8,0,0.0,1000.1
2024-03-26 05:00:00,1.2,92,0.0,-2.9,0,0.0,999.8
2024-03-26 06:00:00,2.4,89,0.8,-1.9,0,0.0,999.4
2024-03-26 07:00:00,4.6,84,2.2,0.6,0,0.0,999.1
2024-03-26 08:00:00,6.7,77,2.9,2.6,0,0.0,998.5
2024-03-26 09:00:00,8.6,70,3.5,4.4,0,0.0,997.9
2024-03-26 10:00:00,10.1,59,2.5,5.3,0,0.0,997.0
2024-03-26 11:00:00,11.4,53,2.2,6.5,0,0.0,995.8
2024-03-26 12:00:00,12.4,52,2.8,7.8,0,0.0,994.9
2024-03-26 13:00:00,12.7,50,2.5,7.7,0,0.0,994.0
2024-03-26 14:00:00,12.7,51,2.8,8.0,0,0.0,993.4
2024-03-26 15:00:00,12.9,53,3.5,8.6,0,0.0,992.4
2024-03-26 16:00:00,12.4,58,4.4,8.9,0,0.0,991.5
2024-03-26 17:00:00,10.8,64,4.3,7.6,0,0.0,990.8
2024-03-26 18:00:00,9.1,68,3.5,5.5,0,0.0,990.5
2024-03-26 19:00:00,8.7,66,2.8,5.0,0,0.0,989.9
2024-03-26 20:00:00,7.9,68,2.3,4.0,0,0.0,989.6
2024-03-26 21:00:00,7.0,70,1.9,3.0,0,0.0,989.3
2024-03-26 22:00:00,7.2,66,1.3,2.9,0,0.0,988.9
2024-03-26 23:00:00,7.2,64,0.8,3.0,0,0.0,988.4
