date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-03 00:00:00,8.9,82,6.0,4.7,0,0.0,1000.8
2024-04-03 01:00:00,8.7,85,6.3,4.8,0,0.1,1000.2
2024-04-03 02:00:00,9.0,85,6.7,4.6,0,0.6,999.7
2024-04-03 03:00:00,8.7,87,6.6,4.1,0,0.0,999.7
2024-04-03 04:00:00,8.4,89,6.7,4.2,0,0.0,1000.2
2024-04-03 05:00:00,8.5,91,7.1,4.7,0,0.1,1000.9
2024-04-03 06:00:00,8.4,92,7.1,4.4,0,0.4,1001.3
2024-04-03 07:00:00,8.7,88,6.9,5.5,0,0.1,1001.6
2024-04-03 08:00:00,9.2,84,6.6,5.7,0,0.1,1002.3
2024-04-03 09:00:00,9.0,85,6.6,6.3,0,0.0,1002.9
2024-04-03 10:00:00,9.9,81,6.7,7.8,0,0.0,1003.0
2024-04-03 11:00:00,10.1,80,6.8,8.4,0,0.2,1003.1
2024-04-03 12:00:00,10.4,79,7.0,9.1,0,0.4,1003.4
2024-04-03 13:00:00,11.0,81,7.9,9.7,0,0.5,1003.4
2024-04-03 14:00:00,11.1,85,8.8,10.0,0,0.7,1003.4
2024-04-03 15:00:00,11.5,86,9.3,10.8,0,0.2,1003.2
2024-04-03 16:00:00,10.8,90,9.2,9.3,0,1.1,1003.4
2024-04-03 17:00:00,10.4,92,9.2,9.2,0,0.5,1003.4
2024-04-03 18:00:00,10.1,93,9.0,8.5,0,0.2,1003.5
2024-04-03 19:00:00,10.1,93,9.0,8.0,0,0.1,1003.6
2024-04-03 20:00:00,10.2,91,8.8,7.9,0,0.0,1003.4
2024-04-03 21:00:00,9.5,93,8.4,7.1,0,0.0,1003.5
2024-04-03 22:00:00,9.5,90,8.0,6.8,0,0.0,1003.6
2024-04-03 23:00:00,9.1,90,7.6,6.4,0,0.0,1003.6
