date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-22 00:00:00,6.6,89,4.9,4.3,0,0.0,1016.6
2024-03-22 01:00:00,7.1,86,5.0,4.4,0,0.0,1016.3
2024-03-22 02:00:00,7.1,88,5.2,4.4,0,0.0,1015.9
2024-03-22 03:00:00,7.2,88,5.4,4.2,0,0.0,1015.0
2024-03-22 04:00:00,7.3,86,5.0,3.9,0,0.0,1014.1
2024-03-22 05:00:00,7.4,83,4.7,4.0,0,0.0,1013.5
2024-03-22 06:00:00,7.7,82,4.8,4.2,0,0.0,1013.0
2024-03-22 07:00:00,8.3,82,5.4,5.3,0,0.0,1012.2
2024-03-22 08:00:00,9.2,78,5.5,5.6,0,0.0,1011.9
2024-03-22 09:00:00,10.3,77,6.5,7.0,0,0.0,1011.3
2024-03-22 10:00:00,10.8,78,7.1,7.7,0,0.0,1010.5
2024-03-22 11:00:00,12.5,72,7.6,9.2,0,0.0,1009.7
2024-03-22 12:00:00,13.1,70,7.7,9.6,0,0.0,1008.4
2024-03-22 13:00:00,11.4,84,8.7,8.7,0,0.8,1008.4
2024-03-22 14:00:00,12.4,79,8.9,9.2,0,0.3,1007.5
2024-03-22 15:00:00,11.9,81,8.8,8.8,0,0.1,1007.1
2024-03-22 16:00:00,11.6,84,9.0,8.8,0,0.1,1006.6
2024-03-22 17:00:00,11.3,87,9.2,8.6,0,0.4,1006.5
2024-03-22 18:00:00,10.7,92,9.4,8.6,0,1.0,1006.4
2024-03-22 19:00:00,10.4,93,9.4,8.4,0,0.8,1005.9
2024-03-22 20:00:00,10.2,94,9.2,8.1,0,0.5,1005.5
2024-03-22 21:00:00,10.0,94,9.0,7.6,0,0.6,1005.2
2024-03-22 22:00:00,9.5,95,8.8,7.2,0,0.5,1004.9
2024-03-22 23:00:00,9.1,93,8.0,7.0,0,0.2,1004.8
