date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-24 00:00:00,2.4,89,0.7,-1.8,0,0.0,999.9
2024-03-24 01:00:00,2.4,90,0.9,-1.8,0,0.0,999.6
2024-03-24 02:00:00,2.2,89,0.6,-2.1,0,0.0,999.0
2024-03-24 03:00:00,1.9,88,0.1,-2.5,0,0.0,998.5
2024-03-24 04:00:00,1.9,88,0.1,-2.4,0,0.0,998.0
2024-03-24 05:00:00,1.7,88,0.0,-2.5,0,0.0,997.7
2024-03-24 06:00:00,2.2,86,0.1,-2.4,0,0.0,997.6
2024-03-24 07:00:00,3.8,79,0.5,-1.1,0,0.0,997.4
2024-03-24 08:00:00,5.2,74,0.9,-0.5,0,0.0,996.9
2024-03-24 09:00:00,6.2,67,0.6,0.4,0,0.2,996.6
2024-03-24 10:00:00,6.3,68,0.9,0.4,0,0.2,996.3
2024-03-24 11:00:00,5.4,75,1.3,-0.3,0,0.1,996.1
2024-03-24 12:00:00,5.7,75,1.7,0.0,0,0.1,995.8
2024-03-24 13:00:00,4.8,92,3.5,1.5,0,1.0,995.4
2024-03-24 14:00:00,6.4,83,3.8,2.0,0,0.1,995.1
2024-03-24 15:00:00,6.0,81,2.9,1.7,0,1.3,994.9
2024-03-24 16:00:00,6.0,84,3.5,3.1,0,1.8,994.4
2024-03-24 17:00:00,5.5,89,3.9,2.0,0,0.9,994.0
2024-03-24 18:00:00,5.3,86,3.2,1.1,0,0.4,993.8
2024-03-24 19:00:00,5.1,88,3.3,1.0,0,0.0,993.6
2024-03-24 20:00:00,4.9,91,3.5,1.0,0,0.3,993.2
2024-03-24 21:00:00,4.5,92,3.3,0.3,0,0.3,992.9
2024-03-24 22:00:00,4.4,93,3.4,0.6,0,0.6,992.5
2024-03-24 23:00:00,4.7,93,3.6,0.8,0,0.4,992.6
