date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-10 00:00:00,11.6,79,8.1,8.4,0,0.2,1012.6
2024-04-10 01:00:00,10.9,80,7.6,7.9,0,0.2,1014.1
2024-04-10 02:00:00,10.9,76,6.9,7.7,0,0.0,1014.5
2024-04-10 03:00:00,10.6,73,6.1,7.5,0,0.0,1015.1
2024-04-10 04:00:00,10.4,71,5.4,7.0,0,0.0,1015.7
2024-04-10 05:00:00,10.2,71,5.2,6.5,0,0.0,1016.9
2024-04-10 06:00:00,10.5,71,5.5,6.8,0,0.0,1017.9
2024-04-10 07:00:00,11.0,67,5.2,6.8,0,0.0,1018.5
2024-04-10 08:00:00,11.8,65,5.4,7.0,0,0.0,1018.9
2024-04-10 09:00:00,12.6,62,5.4,7.8,0,0.0,1019.8
2024-04-10 10:00:00,13.2,58,5.1,8.6,0,0.0,1020.5
2024-04-10 11:00:00,13.5,57,5.2,9.0,0,0.0,1021.1
2024-04-10 12:00:00,13.3,57,5.0,9.1,0,0.0,1021.7
2024-04-10 13:00:00,13.4,57,5.2,9.2,0,0.0,1022.9
2024-04-10 14:00:00,13.3,56,4.6,9.2,0,0.0,1023.1
2024-04-10 15:00:00,13.6,55,4.7,9.8,0,0.0,1023.7
2024-04-10 16:00:00,13.4,55,4.7,10.2,0,0.0,1024.2
2024-04-10 17:00:00,12.7,62,5.7,10.6,0,0.0,1024.3
2024-04-10 18:00:00,9.6,77,5.7,7.1,0,0.0,1025.0
2024-04-10 19:00:00,9.8,77,6.0,7.7,0,0.0,1025.5
2024-04-10 20:00:00,9.5,78,5.9,7.6,0,0.0,1025.8
2024-04-10 21:00:00,9.3,79,5.8,7.2,0,0.0,1026.2
2024-04-10 22:00:00,8.6,81,5.5,6.1,0,0.0,1026.6
2024-04-10 23:00:00,8.2,81,5.1,5.6,0,0.0,1026.7
