date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-08 00:00:00,14.2,87,12.1,13.7,0,0.0,1008.9
2024-04-08 01:00:00,15.4,75,10.9,13.8,0,0.0,1008.0
2024-04-08 02:00:00,15.5,74,10.8,14.5,0,0.0,1007.5
2024-04-08 03:00:00,13.5,83,10.7,12.5,0,0.0,1007.4
2024-04-08 04:00:00,13.1,85,10.7,12.6,0,0.0,1007.3
2024-04-08 05:00:00,13.3,86,11.0,12.9,0,0.0,1007.1
2024-04-08 06:00:00,14.0,85,11.6,14.0,0,0.0,1007.3
2024-04-08 07:00:00,15.8,82,12.7,16.2,0,0.2,1007.3
2024-04-08 08:00:00,17.9,74,13.1,17.8,0,0.0,1006.8
2024-04-08 09:00:00,19.0,73,13.9,18.5,0,0.0,1006.1
2024-04-08 10:00:00,20.4,71,15.0,21.1,0,0.0,1005.9
2024-04-08 11:00:00,21.9,69,16.1,24.5,0,0.0,1005.8
2024-04-08 12:00:00,23.1,68,16.8,26.2,0,0.0,1005.4
2024-04-08 13:00:00,24.9,56,15.5,26.2,0,0.0,1005.1
2024-04-08 14:00:00,25.6,46,13.1,25.1,0,0.0,1004.9
2024-04-08 15:00:00,25.1,52,14.5,25.0,0,0.0,1004.8
2024-04-08 16:00:00,24.0,63,16.6,25.4,0,0.0,1004.5
2024-04-08 17:00:00,24.1,56,14.8,24.9,0,0.0,1004.4
2024-04-08 18:00:00,18.7,78,14.8,19.1,0,0.0,1003.6
2024-04-08 19:00:00,17.4,81,14.1,17.5,0,0.0,1003.7
2024-04-08 20:00:00,16.6,82,13.5,16.5,0,0.0,1003.6
2024-04-08 21:00:00,16.6,79,12.9,16.1,0,0.0,1003.5
2024-04-08 22:00:00,15.3,80,12.0,14.7,0,0.0,1003.4
2024-04-08 23:00:00,14.8,80,11.3,13.9,0,0.0,1003.3
