date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-01 00:00:00,9.5,97,9.1,8.1,0,0.0,993.0
2024-04-01 01:00:00,9.3,97,8.8,7.2,0,0.0,992.2
2024-04-01 02:00:00,8.7,96,8.1,7.1,0,0.0,992.3
2024-04-01 03:00:00,8.5,95,7.8,6.6,0,0.0,991.8
2024-04-01 04:00:00,8.8,94,7.9,6.6,0,0.0,991.5
2024-04-01 05:00:00,9.4,93,8.3,6.9,0,0.0,991.2
2024-04-01 06:00:00,10.8,91,9.5,8.1,0,0.0,990.4
2024-04-01 07:00:00,12.4,88,10.5,10.4,0,0.0,990.7
2024-04-01 08:00:00,13.1,85,10.7,11.2,0,0.0,989.2
2024-04-01 09:00:00,14.5,80,11.1,12.9,0,0.0,988.9
2024-04-01 10:00:00,17.0,71,11.7,15.3,0,0.0,987.7
2024-04-01 11:00:00,19.0,61,11.2,17.2,0,0.0,987.4
2024-04-01 12:00:00,19.2,58,10.8,17.6,0,0.0,987.7
2024-04-01 13:00:00,18.6,62,11.1,16.8,0,0.0,987.5
2024-04-01 14:00:00,19.4,54,9.9,16.5,0,0.0,987.4
2024-04-01 15:00:00,17.8,58,9.4,13.5,0,0.0,987.9
2024-04-01 16:00:00,15.2,70,9.7,10.5,0,0.0,989.1
2024-04-01 17:00:00,13.2,75,8.9,9.3,0,0.0,990.2
2024-04-01 18:00:00,11.9,80,8.6,8.1,0,0.0,991.4
2024-04-01 19:00:00,11.8,79,8.3,7.4,0,0.0,992.2
2024-04-01 20:00:00,10.7,83,8.0,5.9,0,0.0,992.4
2024-04-01 21:00:00,10.4,79,7.0,5.4,0,0.0,992.9
2024-04-01 22:00:00,10.1,79,6.6,5.3,0,0.0,993.6
2024-04-01 23:00:00,10.0,78,6.4,5.1,0,0.1,994.4
