date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-29 00:00:00,6.7,70,1.6,1.7,0,0.0,994.3
2024-03-29 01:00:00,6.1,82,3.2,2.1,0,0.1,994.7
2024-03-29 02:00:00,5.3,85,2.9,1.3,0,0.0,994.8
2024-03-29 03:00:00,5.3,88,3.4,1.3,0,0.0,995.1
2024-03-29 04:00:00,5.4,84,2.9,1.3,0,0.0,995.4
2024-03-29 05:00:00,5.2,83,2.5,1.1,0,0.0,995.4
2024-03-29 06:00:00,6.2,78,2.6,2.1,0,0.0,995.4
2024-03-29 07:00:00,7.6,76,3.7,4.1,0,0.0,996.1
2024-03-29 08:00:00,9.7,68,4.0,5.8,0,0.0,996.3
2024-03-29 09:00:00,10.3,65,4.0,6.2,0,0.0,996.9
2024-03-29 10:00:00,10.7,63,4.1,7.2,0,0.0,996.7
2024-03-29 11:00:00,11.0,66,5.0,7.6,0,0.1,996.5
2024-03-29 12:00:00,11.5,68,5.8,8.5,0,0.1,996.0
2024-03-29 13:00:00,12.9,64,6.2,8.9,0,0.1,995.4
2024-03-29 14:00:00,13.8,59,5.9,9.8,0,0.0,994.8
2024-03-29 15:00:00,14.5,59,6.5,10.8,0,0.0,994.6
2024-03-29 16:00:00,13.9,63,6.9,10.1,0,0.0,994.8
2024-03-29 17:00:00,12.9,68,7.1,9.4,0,0.0,995.0
2024-03-29 18:00:00,12.1,73,7.5,9.1,0,0.0,995.7
2024-03-29 19:00:00,11.1,81,8.0,8.6,0,0.0,996.2
2024-03-29 20:00:00,11.1,83,8.3,9.2,0,0.0,996.5
2024-03-29 21:00:00,9.5,90,8.0,8.0,0,0.0,997.2
2024-03-29 22:00:00,9.3,93,8.1,7.5,0,0.0,997.4
2024-03-29 23:00:00,10.5,85,8.1,9.6,0,0.0,997.0
