date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-03-25 00:00:00,4.7,91,3.4,0.9,0,0.2,993.0
2024-03-25 01:00:00,4.6,96,4.0,0.8,0,0.3,993.8
2024-03-25 02:00:00,4.8,96,4.2,0.6,0,0.2,994.2
2024-03-25 03:00:00,4.7,94,3.8,0.3,0,0.3,994.9
2024-03-25 04:00:00,4.4,94,3.5,0.1,0,0.3,995.7
2024-03-25 05:00:00,4.5,94,3.7,0.3,0,0.0,996.5
2024-03-25 06:00:00,4.7,94,3.7,0.4,0,0.0,997.4
2024-03-25 07:00:00,5.1,92,4.0,1.1,0,0.0,998.3
2024-03-25 08:00:00,5.5,90,4.0,1.3,0,0.1,999.1
2024-03-25 09:00:00,6.1,85,3.9,1.8,0,0.1,999.7
2024-03-25 10:00:00,6.7,80,3.4,2.2,0,0.0,1000.4
2024-03-25 11:00:00,7.0,77,3.2,3.0,0,0.1,1000.7
2024-03-25 12:00:00,8.2,69,2.8,4.1,0,0.3,1000.7
2024-03-25 13:00:00,9.0,64,2.5,5.0,0,0.1,1000.7
2024-03-25 14:00:00,9.4,58,1.5,5.0,0,0.1,1000.8
2024-03-25 15:00:00,9.1,59,1.5,5.0,0,0.0,1000.9
2024-03-25 16:00:00,8.6,63,1.8,5.0,0,0.0,1000.9
2024-03-25 17:00:00,6.7,78,3.0,4.2,0,0.0,1000.9
2024-03-25 18:00:00,5.6,76,1.6,2.7,0,0.0,1001.3
2024-03-25 19:00:00,5.4,76,1.5,2.8,0,0.0,1001.4
2024-03-25 20:00:00,2.7,89,1.0,-0.3,0,0.0,1001.2
2024-03-25 21:00:00,2.0,91,0.7,-1.1,0,0.0,1001.3
2024-03-25 22:00:00,1.8,91,0.5,-1.2,0,0.0,1001.5
2024-03-25 23:00:00,1.1,92,0.0,-2.0,0,0.0,1001.4
