date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-06 00:00:00,12.1,87,10.1,10.3,0,0.0,1008.7
2024-04-06 01:00:00,12.1,88,10.3,10.9,0,0.0,1008.9
2024-04-06 02:00:00,11.6,90,10.0,10.2,0,0.0,1009.3
2024-04-06 03:00:00,11.5,89,9.8,9.8,0,0.0,1009.6
2024-04-06 04:00:00,11.5,89,9.8,9.7,0,0.0,1009.7
2024-04-06 05:00:00,11.3,90,9.8,9.8,0,0.0,1010.0
2024-04-06 06:00:00,12.4,89,10.6,10.8,0,0.0,1010.4
2024-04-06 07:00:00,13.9,87,11.8,12.9,0,0.0,1010.7
2024-04-06 08:00:00,15.4,84,12.7,14.9,0,0.0,1011.0
2024-04-06 09:00:00,16.6,80,13.1,16.1,0,0.0,1011.8
2024-04-06 10:00:00,19.0,68,12.8,18.0,0,0.1,1011.4
2024-04-06 11:00:00,20.0,63,12.9,19.5,0,0.0,1011.1
2024-04-06 12:00:00,20.8,60,12.7,20.3,0,0.0,1011.0
2024-04-06 13:00:00,21.7,57,12.8,21.2,0,0.0,1010.8
2024-04-06 14:00:00,21.9,57,12.9,21.2,0,0.0,1010.5
2024-04-06 15:00:00,21.8,58,13.3,21.6,0,0.0,1010.2
2024-04-06 16:00:00,21.3,66,14.7,21.8,0,0.0,1009.7
2024-04-06 17:00:00,19.5,74,14.8,19.8,0,0.0,1009.8
2024-04-06 18:00:00,17.5,78,13.5,16.9,0,0.0,1009.8
2024-04-06 19:00:00,16.6,79,12.9,15.6,0,0.0,1010.0
2024-04-06 20:00:00,16.1,78,12.4,14.8,0,0.0,1010.0
2024-04-06 21:00:00,15.7,79,12.1,14.3,0,0.0,1010.0
2024-04-06 22:00:00,15.1,80,11.7,13.6,0,0.0,1010.1
2024-04-06 23:00:00,14.4,81,11.2,13.0,0,0.0,1009.7
